Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.66E-08,0,0,1,0.05629028,1.396114,0.5154329,-0.349442,0.09568078,0.7415655,-0.5646381,-0.03255406,1.435783,0.4535727,0.3247883,0.4576158,0.03760304,0.8268536,-0.09249761,1.235302,0.3078358,-0.3190613,0.5728446,-0.2503998,0.7122847,-0.09005939,1.050106,0.5124633,-0.1475317,0.6384649,-0.446547,0.609256,0.1443473,1.556645,0.5866953,-0.01455713,-0.08224865,0.9965006,-0.003185463,0.1855189,1.359441,0.5526962,0.000328238,-0.1626162,0.6791762,0.7157344,0.2976261,1.350513,0.5781103,0.02812398,-0.7511673,0.2728192,0.6004384,0.3919435,1.133875,0.6740139,-0.2528951,-0.6990696,0.5631813,0.3607945,0.406517,1.068258,0.9417037,-0.179166,-0.504914,0.8350586,0.1250553
0,0,0,0,6.66E-08,0,0,1,0.05629028,1.396114,0.5154329,-0.349442,0.09568078,0.7415655,-0.5646381,-0.03255406,1.435783,0.4535727,0.3247883,0.4576158,0.03760304,0.8268536,-0.09249761,1.235302,0.3078358,-0.3190613,0.5728446,-0.2503998,0.7122847,-0.09005939,1.050106,0.5124633,-0.1475317,0.6384649,-0.446547,0.609256,0.1443473,1.556645,0.5866953,-0.01455713,-0.08224865,0.9965006,-0.003185463,0.1855189,1.359441,0.5526962,0.000328238,-0.1626162,0.6791762,0.7157344,0.2976261,1.350513,0.5781103,0.02812398,-0.7511673,0.2728192,0.6004384,0.3919435,1.133875,0.6740139,-0.2528951,-0.6990696,0.5631813,0.3607945,0.406517,1.068258,0.9417037,-0.179166,-0.504914,0.8350586,0.1250553
0,0,0,0,6.66E-08,0,0,1,0.05629028,1.396114,0.5154329,-0.349442,0.09568078,0.7415655,-0.5646381,-0.03255406,1.435783,0.4535727,0.3247883,0.4576158,0.03760304,0.8268536,-0.09249761,1.235302,0.3078358,-0.3190613,0.5728446,-0.2503998,0.7122847,-0.09005939,1.050106,0.5124633,-0.1475317,0.6384649,-0.446547,0.609256,0.1443473,1.556645,0.5866953,-0.01455713,-0.08224865,0.9965006,-0.003185463,0.1855189,1.359441,0.5526962,0.000328238,-0.1626162,0.6791762,0.7157344,0.2976261,1.350513,0.5781103,0.02812398,-0.7511673,0.2728192,0.6004384,0.3919435,1.133875,0.6740139,-0.2528951,-0.6990696,0.5631813,0.3607945,0.406517,1.068258,0.9417037,-0.179166,-0.504914,0.8350586,0.1250553
10.00977,0,0,0,6.66E-08,0,0,1,0.05627921,1.396068,0.515541,-0.3496381,0.09557142,0.7413709,-0.564791,-0.03257045,1.435702,0.453666,0.3249319,0.4577544,0.0377719,0.8267125,-0.09250192,1.235276,0.3078498,-0.3190539,0.5729811,-0.2500463,0.7123023,-0.08990547,1.049979,0.5123847,-0.1476941,0.6386027,-0.4462035,0.609324,0.1443127,1.556581,0.586822,-0.0165148,-0.08184198,0.9965035,-0.003217166,0.1855115,1.359373,0.552769,0.000528696,-0.1625097,0.6792099,0.7157263,0.2976305,1.350455,0.5781346,0.02780821,-0.750907,0.2730233,0.6006861,0.3919202,1.133865,0.6741733,-0.2529967,-0.6990238,0.5628838,0.3612758,0.4065511,1.068091,0.9418217,-0.1790109,-0.5054845,0.834592,0.1260817
20.01953,0,0,0,6.66E-08,0,0,1,0.05630565,1.396075,0.5155349,-0.3498025,0.0955811,0.7411658,-0.5649569,-0.03254121,1.435666,0.4536279,0.3248933,0.4579366,0.03791597,0.8266203,-0.09243502,1.235232,0.3078061,-0.3191539,0.5730667,-0.2497409,0.7122959,-0.08967078,1.049886,0.5122942,-0.1478681,0.6385863,-0.446048,0.609413,0.1443601,1.55657,0.586827,-0.01851752,-0.0822068,0.9964392,-0.002926461,0.1855527,1.359375,0.5527063,0.000755097,-0.1624493,0.6792356,0.7157158,0.2976828,1.350465,0.5780261,0.02741542,-0.7507794,0.2731223,0.6008188,0.3918691,1.133892,0.6742033,-0.2531036,-0.6989719,0.562599,0.3617453,0.4065551,1.067971,0.9418125,-0.178941,-0.5057097,0.8343171,0.1270962
29.99878,0,0,0,6.66E-08,0,0,1,0.05632959,1.396067,0.5155789,-0.3500213,0.09556878,0.741025,-0.5650079,-0.03250386,1.435644,0.4536446,0.3248896,0.4580383,0.03831609,0.8265471,-0.09224632,1.235225,0.3077411,-0.3190926,0.5731202,-0.2494234,0.7123916,-0.08938044,1.04977,0.5121288,-0.1479752,0.6387243,-0.4456772,0.6095138,0.1444976,1.556529,0.5868814,-0.02014067,-0.08201043,0.9964264,-0.001879426,0.1855745,1.359333,0.5527255,0.001006122,-0.1624147,0.6792645,0.7156956,0.2977156,1.350432,0.5779994,0.02718043,-0.750579,0.2732307,0.6010307,0.3918719,1.133883,0.6742594,-0.2535539,-0.698698,0.5622442,0.3625095,0.4065889,1.067868,0.9418435,-0.1790162,-0.5054216,0.8343523,0.1279011
40.00854,0,0,0,6.66E-08,0,0,1,0.05630009,1.396063,0.5155557,-0.3501144,0.09549643,0.7410494,-0.5649304,-0.03252705,1.435665,0.4536273,0.3245763,0.4580809,0.03893314,0.8266175,-0.09194193,1.235166,0.3076992,-0.3191465,0.5731188,-0.2492463,0.7124304,-0.08899497,1.049681,0.5120589,-0.1478742,0.6388692,-0.4455471,0.6094815,0.1445686,1.55653,0.5868409,-0.02168887,-0.08201775,0.9963948,-0.000696957,0.1855694,1.359358,0.5526446,0.001279759,-0.1623833,0.6792997,0.715669,0.2977224,1.350468,0.5778698,0.02693305,-0.7505522,0.2731788,0.601099,0.3917772,1.133898,0.674181,-0.2538008,-0.6985083,0.5621381,0.3628667,0.406515,1.067886,0.9417649,-0.1791777,-0.5049658,0.8345028,0.1284926
49.98779,0,0,0,6.66E-08,0,0,1,0.05643953,1.396153,0.5154222,-0.3503807,0.09526374,0.7411045,-0.5647323,-0.0323739,1.435816,0.4535137,0.3245406,0.4581515,0.03909681,0.8265849,-0.0917237,1.235311,0.3075664,-0.3190994,0.5731516,-0.2490353,0.712499,-0.08871236,1.049752,0.5118573,-0.1478743,0.63904,-0.4455118,0.6093281,0.1448823,1.556605,0.5865797,-0.02307013,-0.08181838,0.9963803,0.000302151,0.185711,1.359401,0.5524577,0.001555103,-0.1623447,0.679329,0.7156495,0.297876,1.35052,0.5776326,0.0267492,-0.7504361,0.2732574,0.6012161,0.3918993,1.133966,0.6740125,-0.2539341,-0.6983688,0.5620995,0.3631021,0.4066706,1.067968,0.9415978,-0.1796106,-0.5043991,0.8346397,0.1292233
59.99756,0,0,0,6.66E-08,0,0,1,0.05646105,1.396156,0.5153868,-0.3504903,0.09511372,0.7411352,-0.5646494,-0.03235192,1.435847,0.4534957,0.324397,0.4582509,0.03914174,0.826584,-0.09166571,1.235298,0.3075966,-0.3191892,0.5731528,-0.2489469,0.7124887,-0.08858956,1.049746,0.5118932,-0.1478237,0.6392212,-0.4455349,0.6091334,0.1449856,1.556605,0.5865176,-0.02433583,-0.08177807,0.996353,0.001102636,0.1857522,1.359413,0.552362,0.001803081,-0.1623073,0.6793424,0.7156446,0.2979279,1.350537,0.5774906,0.02654992,-0.7505051,0.2733621,0.6010913,0.3918905,1.134007,0.6739829,-0.2539599,-0.6982771,0.5621258,0.3632198,0.4067065,1.068032,0.9415716,-0.1801406,-0.5037543,0.8348143,0.1298715
70.00732,0,0,0,6.66E-08,0,0,1,0.05651723,1.396174,0.5153579,-0.3507836,0.09490374,0.7411839,-0.5644385,-0.03227659,1.43593,0.4534804,0.3244594,0.458331,0.03926568,0.8265091,-0.09156746,1.235405,0.3075368,-0.3191733,0.5731595,-0.2488824,0.7125127,-0.08847307,1.04983,0.5118119,-0.1478508,0.6393183,-0.445657,0.6089353,0.1451194,1.556605,0.5864565,-0.02546,-0.08157484,0.9963409,0.001635862,0.1858101,1.359402,0.5522985,0.002000812,-0.1622707,0.67934,0.7156546,0.2979944,1.350526,0.5773886,0.02643795,-0.7504815,0.2736878,0.6009772,0.3919978,1.134084,0.6740382,-0.2539355,-0.6982172,0.5621752,0.3632754,0.4068587,1.068132,0.9416302,-0.180547,-0.503086,0.8350881,0.1301369
80.01709,0,0,0,6.66E-08,0,0,1,0.05654796,1.396192,0.5152938,-0.3509052,0.0948007,0.7412198,-0.5643332,-0.03223817,1.435979,0.4534259,0.3242167,0.4584691,0.03921221,0.8265305,-0.09151725,1.235372,0.3075909,-0.3192992,0.5731777,-0.248895,0.7124373,-0.08837441,1.049845,0.5119088,-0.1480322,0.6393247,-0.4458192,0.608766,0.1451828,1.556626,0.5863531,-0.02649937,-0.08159062,0.9963118,0.001902317,0.1858583,1.359426,0.5521795,0.001645844,-0.1617363,0.6793485,0.7157686,0.2980484,1.350552,0.5772447,0.02628328,-0.7505757,0.2739553,0.6007444,0.3920432,1.13418,0.6740604,-0.2538854,-0.6981752,0.5622258,0.3633128,0.4069512,1.068246,0.941654,-0.1807064,-0.5025656,0.8353945,0.1299596
89.99634,0,0,0,6.66E-08,0,0,1,0.05655639,1.396206,0.5152259,-0.3511275,0.09461191,0.741281,-0.564146,-0.03221617,1.43605,0.4533752,0.3239413,0.4585114,0.03898643,0.8266253,-0.09153123,1.235344,0.3076924,-0.3193606,0.573247,-0.2488328,0.7123759,-0.08832385,1.049821,0.5120134,-0.1483386,0.6392244,-0.446022,0.6086479,0.1452031,1.556635,0.5862741,-0.0272956,-0.0815519,0.9962934,0.00199423,0.1858692,1.359431,0.5520937,0.001384887,-0.1613039,0.6793797,0.715837,0.2980652,1.350566,0.5771354,0.02615689,-0.7505161,0.2743688,0.6006356,0.3921225,1.134307,0.6741412,-0.2537981,-0.6981161,0.562331,0.3633241,0.4070971,1.068414,0.9417412,-0.1807425,-0.5022077,0.8356477,0.129664
100.0061,0,0,0,6.66E-08,0,0,1,0.05654653,1.39575,0.5151461,-0.3511281,0.09451473,0.7413216,-0.5641088,-0.03223284,1.435609,0.453314,0.3234945,0.4586124,0.03846369,0.8267689,-0.09167757,1.234733,0.3079162,-0.3195734,0.5732626,-0.2488581,0.7122592,-0.08839402,1.049293,0.5123104,-0.1486321,0.6390867,-0.4461578,0.6086215,0.145191,1.556187,0.5861788,-0.02782495,-0.08159665,0.996275,0.002033118,0.1858769,1.358992,0.5519691,0.001322518,-0.1610846,0.6793864,0.7158802,0.2980784,1.350129,0.576987,0.02592052,-0.7505522,0.2746103,0.6004909,0.3920994,1.133932,0.6741647,-0.2537243,-0.6980731,0.5623541,0.3634226,0.4071436,1.068032,0.9417591,-0.1807766,-0.5020902,0.8357255,0.1295705
109.9854,0,0,0,6.66E-08,0,0,1,0.05656293,1.395658,0.5150626,-0.3510974,0.09481211,0.7410465,-0.5644391,-0.03221367,1.435417,0.4531628,0.3234655,0.4586158,0.03819878,0.8267907,-0.0917635,1.234522,0.3078356,-0.3196871,0.5732802,-0.2488026,0.7122129,-0.08841272,1.049107,0.5122514,-0.1489557,0.638928,-0.4462691,0.6086277,0.1452085,1.556074,0.5861061,-0.02817357,-0.08163389,0.9962622,0.001892818,0.1858866,1.358871,0.5518803,0.001356597,-0.1609866,0.6793697,0.7159178,0.2980925,1.350003,0.5768766,0.02572178,-0.7504075,0.2747196,0.6006299,0.3920884,1.133831,0.6741349,-0.2536567,-0.6980313,0.5623578,0.3635444,0.407203,1.067915,0.9417214,-0.1808103,-0.5021069,0.835707,0.1295782
120.0256,0,0,0,6.66E-08,0,0,1,0.05656183,1.395517,0.5149812,-0.3511615,0.09511767,0.7406647,-0.5648488,-0.03220887,1.435156,0.4529962,0.3231471,0.4587077,0.03772046,0.826886,-0.09189923,1.234138,0.3078976,-0.3200452,0.5733663,-0.2489718,0.7119237,-0.08844669,1.048895,0.5124683,-0.1493437,0.6388029,-0.4463703,0.6085893,0.1451676,1.555908,0.5860847,-0.02848606,-0.08202691,0.9962219,0.001531114,0.1858907,1.358719,0.5517699,0.001350644,-0.1609016,0.6793412,0.715964,0.2980989,1.349843,0.5767528,0.02542142,-0.7503123,0.2747456,0.6007498,0.3920035,1.133669,0.6740981,-0.2535428,-0.6980478,0.562328,0.3636387,0.4071829,1.067703,0.9416686,-0.1808155,-0.5021346,0.8356937,0.1295491
130.0049,0,0,0,6.66E-08,0,0,1,0.05658123,1.395473,0.5148634,-0.3514083,0.0950949,0.7405078,-0.5649049,-0.03217504,1.435099,0.452849,0.3230272,0.4587218,0.03747837,0.8269361,-0.09194077,1.234032,0.3078491,-0.3202059,0.5735357,-0.2491278,0.7116604,-0.08843251,1.048889,0.5125092,-0.1495546,0.6388292,-0.4463941,0.608493,0.1452069,1.555849,0.5859516,-0.02837705,-0.08179753,0.9962441,0.001456799,0.1859,1.358643,0.5516549,0.001307997,-0.1608357,0.6793059,0.7160126,0.2981084,1.349755,0.5766332,0.02529624,-0.75011,0.2749871,0.6008972,0.392057,1.133647,0.674079,-0.2534599,-0.6981316,0.562173,0.363775,0.4072678,1.067561,0.9416181,-0.1807712,-0.5021812,0.8356873,0.1294723
140.0146,0,0,0,6.66E-08,0,0,1,0.05656869,1.395441,0.5147324,-0.3514357,0.09507415,0.7405448,-0.5648431,-0.03218297,1.435084,0.4527221,0.3227696,0.4587733,0.03712976,0.8270242,-0.09204221,1.233918,0.307897,-0.3204395,0.5735798,-0.2492792,0.711467,-0.08848494,1.048899,0.5126685,-0.1498436,0.6389284,-0.4464552,0.608273,0.1451817,1.555826,0.5857859,-0.02827489,-0.0815965,0.9962637,0.001239869,0.1858883,1.358608,0.5515191,0.001240294,-0.1607855,0.6792673,0.7160604,0.2980953,1.349709,0.5764993,0.02523712,-0.7501115,0.2752032,0.600799,0.3920737,1.133659,0.6740473,-0.2533766,-0.698206,0.5620845,0.3638269,0.4073046,1.067495,0.941566,-0.180677,-0.5022568,0.835678,0.1293691
149.9939,0,0,0,6.66E-08,0,0,1,0.05655796,1.395412,0.5146702,-0.3515186,0.09518664,0.7405275,-0.5647951,-0.03217233,1.435062,0.4526342,0.322681,0.4589302,0.03670407,0.8269905,-0.09221687,1.233852,0.3079486,-0.3204657,0.5736643,-0.2493396,0.7113657,-0.08864626,1.048859,0.5127432,-0.1501618,0.6391008,-0.4464999,0.6079803,0.1451605,1.555794,0.585705,-0.02807464,-0.08123379,0.9962993,0.000989655,0.185868,1.358558,0.5514685,0.001163411,-0.1607433,0.6792289,0.7161065,0.298073,1.349646,0.5764533,0.02524511,-0.7500519,0.2755117,0.6007317,0.3921389,1.133683,0.6741094,-0.2532789,-0.6983123,0.5619834,0.3638465,0.4073784,1.067429,0.9416053,-0.1805535,-0.5025871,0.8355055,0.1293726
160.0037,0,0,0,6.66E-08,0,0,1,0.05654978,1.395361,0.5146485,-0.3512435,0.09563548,0.7404273,-0.5650219,-0.03217581,1.434932,0.4525555,0.3226309,0.4589627,0.03634349,0.8270079,-0.09236574,1.233691,0.307972,-0.3207659,0.5736562,-0.249575,0.7111543,-0.08876474,1.048869,0.5129206,-0.1505546,0.63921,-0.4466328,0.6076704,0.1451162,1.55574,0.5856956,-0.02781509,-0.08108341,0.996319,0.00063164,0.1858632,1.358503,0.5514316,0.000932339,-0.1605507,0.679127,0.7162465,0.2980647,1.349559,0.5764205,0.02526808,-0.7500552,0.2756002,0.6006858,0.39216,1.133622,0.6741046,-0.2532552,-0.6983516,0.561923,0.3638815,0.4074019,1.067324,0.9415894,-0.1802963,-0.5030473,0.8353141,0.1291777
